docId,filename,0 â fo faid,1 day water put,2 â tom ll,3 men â king,4 king george man,5 â œ man,6 god â thy,7 â 1 ft,8 â love iâ,9 oâ ye â
35,104184140.txt,0.34622990969266143,1.4774405677900015E-4,1.9870017856941924E-4,0.07034942161630171,0.009899063064072606,3.47746983579641E-4,1.561360147738082E-4,0.06104752346589676,0.3636996123421749,0.14792414258519077
36,104184141.txt,0.5947912496107324,8.16069553585874E-5,1.0975275050497144E-4,0.0067875603996419955,1.2275054969337686E-4,1.9207928348357646E-4,8.624228321125255E-5,0.013675946201263441,0.3839581258513616,1.9468611474874687E-4
37,104184142.txt,0.622552172696643,1.101656418975316E-4,0.012775370048069378,0.07410282617657032,1.6570760471120452E-4,2.592982113743255E-4,1.1642312161908855E-4,4.2302947574907317E-4,0.28923218970950365,2.628173138623934E-4
38,104184143.txt,0.2454902290941182,4.611384084886302E-5,6.201825380290515E-5,6.005036774433396E-5,6.936295181946383E-5,1.0853870812854954E-4,0.025721540886071006,0.0024423221333155836,0.11502800409196944,0.6109718196721817
39,104184144.txt,0.38608303765096924,1.0859844729464443E-4,1.4605346123726184E-4,1.4141907454381686E-4,1.6335028114563847E-4,0.005590285216120741,1.1476690934900145E-4,0.0021952367854585425,0.5394038396468683,0.0660534125270127
40,104184145.txt,0.34107641831617136,4.1733626379084026E-5,0.48660813902764294,5.4346364675681164E-5,0.05678161843510283,9.822894405068887E-5,4.4104123353240935E-5,0.09446387487447234,0.0036479850411657647,0.017183551246986145
41,104184147.txt,0.41675069883173804,1.0055224312971011E-4,0.018246447895815632,1.3094114622216828E-4,1.5124744040307064E-4,2.366710377584097E-4,1.0626367558272904E-4,0.04978033931985126,0.5076710587277673,0.006825779681731632
42,104184148.txt,0.3886909975136953,9.05620068656202E-5,1.2179635058160532E-4,1.1793166033966299E-4,0.003102002202149881,2.131568971437261E-4,9.570598743655188E-5,0.07152651475839368,0.4943043382971127,0.0417369943262812
43,104184149.txt,0.4475674140390008,0.0012626412562465109,0.023897105199737794,0.027463909099311398,0.002489248962573194,1.7105100206331312E-4,0.006026642694127619,0.06810725785244569,0.4216513890564111,0.0013633408380825589
44,104184150.txt,0.6682738361286985,1.1177873148644482E-4,1.503306081532795E-4,0.0038061609445858855,0.11547704782927332,2.6309495996115615E-4,0.023912030697233876,0.02056252606455367,0.16534622822537717,0.0020969658106765984
45,104184151.txt,0.5353274354032084,6.550190508591805E-5,8.809315596821359E-5,8.529789355988592E-5,0.061233811009609694,0.0033718192179678576,6.922245566537836E-5,0.13217503347342366,0.2674275204790078,1.562650065032313E-4
46,104184152.txt,0.6296803965658079,7.846160677812166E-5,0.04121768601956662,1.0217427683544824E-4,0.027097876669591344,0.00660845157440513,8.291827679681532E-5,0.07738659431076633,0.21755825830411046,1.8718239534185784E-4
47,104184153.txt,0.574390565211322,0.0754338888088209,0.01687786339762361,0.00850331684736154,1.5377937812319654E-4,0.003588706477180312,1.080425685528852E-4,0.08576845202181348,0.23493148650642617,2.4389878277587013E-4
48,104184154.txt,0.4226212540591552,1.0486883896122363E-4,0.02589836942457394,1.3656230382505828E-4,1.5774032460386158E-4,2.468310618735363E-4,1.1082545684970688E-4,0.05706882023454981,0.4934045473309354,2.5018096467220103E-4
49,104184155.txt,0.3253973812459693,8.07437989560057E-5,1.0859189615275296E-4,1.0514619322806334E-4,1.2145221767715724E-4,1.9004766175950114E-4,8.533009896666264E-5,0.0769932689988156,0.4883112067179455,0.10860683117052947
50,104184156.txt,0.2865885543738613,9.110238645640912E-5,0.004597740771239713,1.186353534728106E-4,1.370332708378136E-4,2.144287951596709E-4,9.62770609376477E-5,0.07195331038840938,0.2600672946184985,0.3761356229811268
51,104184157.txt,4.851809492428184E-4,2.6525519900384064E-5,0.7870547397414185,3.4542063625719116E-5,3.9898831347984164E-5,0.14990877873206004,2.8032186589030914E-5,1.0185640989473053E-4,1.4694052184251682E-4,0.062173505044078176
52,104184158.txt,4.683620324752593E-5,4.2453744599566505E-4,3.286219254255573E-5,3.181945034016969E-5,3.675399641620449E-5,5.7512421039393584E-5,2.5822683287280595E-5,9.382806457632057E-5,0.6190941946758063,0.38015583286674853
53,104184159.txt,0.0014538272516716137,7.948276566942487E-5,1.0689593934279207E-4,1.0350405040926813E-4,0.0066269348377398325,0.14855533045725552,8.399743817369167E-5,0.001606684951342832,0.2971768037947504,0.5442065385136446
